filename,duration_sec,width,height,fps,file_size_mb,video_codec,audio_codec,bitrate_kbps,created_at,youtube_title,status
the_greatest_survival_story_in_clip1.mp4,,,,,0.06,,,,2026-08-22 17:14:24,POV: You Finally Understand #Greatest,ready_to_upload
the_greatest_survival_story_in_clip2.mp4,,,,,0.1,,,,2026-08-22 17:14:45,Stop Scrolling — Watch This #Greatest Clip,ready_to_upload
the_greatest_survival_story_in_clip3.mp4,,,,,0.07,,,,2026-08-22 17:15:04,#Greatest Explained In 30 Seconds ⚡,ready_to_upload
the_greatest_survival_story_in_clip4.mp4,,,,,0.1,,,,2026-08-22 17:15:22,The #Greatest Secret They Don't Want You To Know,ready_to_upload
the_greatest_survival_story_in_clip5.mp4,,,,,0.06,,,,2026-08-22 17:15:42,The #Greatest Trick Nobody Shows You,ready_to_upload
